iterations = 18, 0.304, 0.759, 0.4, 11, 606331650.0, changed = True, neighbourhood = 166 
iterations = 20, 0.143, 0.306, 0.467, 13, 1046138200.0, changed = True, neighbourhood = 172 
iterations = 22, 0.417, 0.782, 0.533, 15, 2034699160.0, changed = True, neighbourhood = 153 
iterations = 23, 0.417, 0.782, 0.533, 15, 2034699160.0, changed = False, neighbourhood = 138 
iterations = 24, 0.417, 0.782, 0.533, 15, 2034699160.0, changed = False, neighbourhood = 142 
iterations = 25, 0.417, 0.782, 0.533, 15, 2034699160.0, changed = False, neighbourhood = 145 
iterations = 26, 0.417, 0.782, 0.533, 15, 2034699160.0, changed = False, neighbourhood = 157 
iterations = 27, 0.417, 0.782, 0.533, 15, 2034699160.0, changed = False, neighbourhood = 158 
iterations = 28, 0.417, 0.782, 0.533, 15, 2034699160.0, changed = False, neighbourhood = 159 
iterations = 29, 0.417, 0.782, 0.533, 15, 2034699160.0, changed = False, neighbourhood = 159 
iterations = 30, 0.417, 0.782, 0.533, 15, 2034699160.0, changed = False, neighbourhood = 159 
